HGNC_ID	HGNC_symbol	transcript	gene	chr	tx_start	tx_end	bp	n_exons	p_all	p_syn	p_mis	p_non	p_css	p_fs	p_lof
HGNC:9965	RERE	ENST00000337907.3	RERE	1	8415146	8716356	4701	22	8.47512870226e-05	2.59992150214e-05	5.53566481307e-05	2.4636096097e-06	9.31814260756e-07	2.5974396919e-07	3.65516783965e-06
NA	NA	ENST00000448629.2	RP4-758J18.2	1	1334931	1336114	414	3	8.53432711402e-07	2.74925681357e-07	5.41235098356e-07	2.90629801624e-08	8.20895152573e-09	5.55873769403e-09	4.28306693821e-08
HGNC:12636	UTS2	ENST00000054668.5	UTS2	1	7907825	7913491	420	5	6.09533355481e-06	1.70348044976e-06	4.06919564569e-06	1.45225526843e-07	1.77431932531e-07	5.48749704304e-08	3.77532429804e-07
HGNC:40020	RNF223	ENST00000453464.2	RNF223	1	1007196	1007946	750	1	1.63713818935e-06	5.22123841193e-07	1.09347357729e-06	2.15407708621e-08	0.0	1.39832662828e-09	2.29390974904e-08
HGNC:12644	VAMP3	ENST00000054666.6	VAMP3	1	7831443	7839705	303	5	5.08320031897e-06	1.44485590001e-06	3.18237994259e-06	2.8393365592e-07	1.72030820454e-07	5.43549911871e-08	5.10319467561e-07
HGNC:26062	C1orf159	ENST00000421241.2	C1orf159	1	1018272	1026923	597	8	7.34667192936e-06	2.35416037579e-06	4.7202954124e-06	5.60340718289e-08	2.16182069353e-07	1.13449487057e-08	2.83561089888e-07
HGNC:25224	PRAMEF20	ENST00000332192.6	PRAMEF21	1	13521972	13526873	1428	3	1.86768009565e-06	5.370997833e-07	1.28066818641e-06	4.15834807896e-08	8.32864514919e-09	5.62876695191e-08	1.06199795458e-07
HGNC:13262	PRAMEF13	ENST00000376132.3	PRAMEF13	1	13448049	13450836	1425	3	6.61891356949e-06	2.00494199297e-06	4.42761978242e-06	1.65687878204e-07	2.06639159058e-08	5.59771009067e-08	2.42328895017e-07
HGNC:6229	KCNAB2	ENST00000378083.3	KCNAB2	1	6111596	6158634	1248	15	1.55171806019e-05	4.68568052893e-06	9.92689509254e-06	4.40120159274e-07	4.64484821211e-07	1.2791396301e-07	1.03251894349e-06
HGNC:11917	TNFRSF1B	ENST00000376259.3	TNFRSF1B	1	12227148	12267077	1386	10	2.32360649934e-05	7.57515112053e-06	1.4778715441e-05	5.26009341281e-07	3.56189090551e-07	1.69976685557e-07	1.05217511739e-06
HGNC:2024	CLCN6	ENST00000346436.6	CLCN6	1	11866319	11900280	2610	23	4.7455149717e-05	1.42971634979e-05	3.0752640407e-05	1.425165414e-06	9.80180398024e-07	3.79319981037e-07	2.78466579306e-06
HGNC:10315	RPL22	ENST00000234875.4	RPL22	1	6246731	6259633	387	4	5.59470569015e-06	1.65495441704e-06	3.68544477709e-06	1.39751998391e-07	1.14554497636e-07	3.47067711217e-08	2.89013267149e-07
HGNC:6902	MASP2	ENST00000400897.3	MASP2	1	11086941	11107264	2061	11	2.91937455608e-05	8.95239482006e-06	1.90106110682e-05	8.44350384389e-07	3.86389288163e-07	1.69383161214e-07	1.40012283376e-06
HGNC:7436	MTHFR	ENST00000376592.1	MTHFR	1	11850736	11863173	1971	11	3.47295989194e-05	1.02290683038e-05	2.29085903448e-05	1.13538405003e-06	4.56556220789e-07	1.80925557836e-07	1.77286582866e-06
HGNC:24074	PRAMEF8	ENST00000357367.2	PRAMEF8	1	13386981	13389702	1425	3	1.71086958542e-06	4.9028980391e-07	1.16387544341e-06	4.83890860924e-08	8.31525200327e-09	5.5722802696e-08	1.12427140792e-07
HGNC:23618	GPR153	ENST00000377893.2	GPR153	1	6309397	6314965	1830	5	2.68836163396e-05	8.66971864551e-06	1.76311749314e-05	4.30586448613e-07	1.52136314173e-07	4.37853798352e-08	6.26508142621e-07
HGNC:28513	KIAA2013	ENST00000376572.3	KIAA2013	1	11980371	11986294	1905	3	3.55750708496e-05	1.23341898675e-05	2.25341837219e-05	6.24913184365e-07	8.17840758366e-08	4.98738647739e-08	7.56571124976e-07
HGNC:25570	DNAJC11	ENST00000377577.5	DNAJC11	1	6695734	6761860	1680	16	2.8291882989e-05	8.20129933112e-06	1.80841882746e-05	1.34751417569e-06	6.58881207681e-07	1.49009749253e-07	2.15540513262e-06
HGNC:30693	PRAMEF18	ENST00000376126.2	PRAMEF18	1	13474688	13477522	1440	3	7.88210930619e-06	2.13405351658e-06	5.50435134363e-06	2.21323061807e-07	2.23813841771e-08	5.60881559085e-08	2.99792601893e-07
HGNC:15515	ARHGEF16	ENST00000378378.4	ARHGEF16	1	3379648	3397151	2130	14	2.81190472271e-05	8.72349518335e-06	1.81881149889e-05	6.68555754363e-07	5.38881300478e-07	6.58441125947e-08	1.27328116744e-06
HGNC:11924	TNFRSF9	ENST00000377507.3	TNFRSF9	1	7980894	8000054	768	7	1.16805410468e-05	3.38232088385e-06	7.52635136781e-06	4.03487059499e-07	3.68381735598e-07	7.76399889184e-08	8.49508784016e-07
HGNC:11918	TNFRSF4	ENST00000379236.3	TNFRSF4	1	1146934	1149507	834	7	1.31896046226e-05	4.33082158338e-06	8.47376144616e-06	1.95607448842e-07	1.89414144196e-07	1.11497052141e-08	3.96171298252e-07
