transcript	gene	bp	covered_bp	all	syn	mis	non	rdt	css	frameshift
NM_017582	UBE2Q1	1269	1269	-4.76796539733	-5.26535540241	-4.980883306	-6.19795561595	-7.84694835713	-6.27087198459	-6.09485106873
NM_014372	RNF11	465	465	-5.12509971753	-5.6370255034	-5.3151491617	-6.60368032996	-7.77841536932	-7.07149058792	-6.53085973793
NM_014455	RNF115	915	915	-4.90918909813	-5.50118535154	-5.07882291364	-6.33929551261	-7.74888595291	-6.44836541772	-6.23689159675
NM_001357	DHX9	3813	3813	-4.29664881272	-4.91865994676	-4.46455296177	-5.52475904812	-7.88353174475	-5.94501869174	-5.61704588555
NM_001101376	FAM183A	405	405	-5.22662673501	-5.80341375628	-5.39205224015	-6.54235698586	-7.68978140149	NA	-6.59085766761
NM_001042549	NSL1	642	642	-5.02298283775	-5.57788302303	-5.2049174288	-6.39053544115	-7.72610705821	-6.75144407646	-6.39077766275
NM_006912	RIT1	660	660	-4.98164081128	-5.67388002118	-5.12377119891	-6.22064720263	-7.78231180763	-6.75822399922	-6.37876875528
NM_014856	DENND4B	4491	4491	-4.12789467134	-4.69603408306	-4.28361354162	-5.64038901746	-7.6800527062	NA	-5.54596963576
NM_012396	PHLDA3	384	384	-4.96918917525	-5.44858186314	-5.15418315742	-6.88538399981	-7.86607627826	-7.69746971916	-6.61398146645
NM_152902	TIPRL	819	819	-4.93316435142	-5.46914908287	-5.12667905059	-6.28552083765	-7.70197258703	-6.58411237746	-6.28502878906
NM_019099	FAM212B	894	894	-4.86130545225	-5.47431186615	-5.01337283889	-6.18813520727	-7.74880057672	-7.35252214804	-6.24697517202
NM_021958	HLX	1467	1467	-4.46942834362	-4.90393607075	-4.6873133641	-6.12578698746	-7.5848421126	-6.87046971377	-6.03188257698
NM_018178	GOLPH3L	858	858	-4.9283934858	-5.57939786443	-5.08915896297	-6.06032026707	-7.88526200088	-6.8820890907	-6.26482540297
NM_001826	CKS1B	240	240	-5.37612066411	-5.90506798669	-5.57621646368	-6.70941539124	-7.60256261976	-7.054153714	-6.81810144911
NM_057090	ARTN	687	687	-5.06767069946	-5.52126849152	-5.2829069793	-6.56400397745	-7.76451468902	-7.36802846687	-6.36135595376
NM_003196	TCEA3	1047	1047	-4.80327926421	-5.36570026961	-4.96054756577	-6.37765628662	-7.66930684377	-7.52335256913	-6.17836600914
NM_012421	RLF	5745	5745	-4.16378113289	-4.73653189033	-4.33084132193	-5.49071824002	-7.71008082434	-6.51230056072	-5.4390226578
NM_144699	ATP1A4	3090	3090	-4.31063439832	-4.85424154786	-4.49355301667	-5.75921920098	-7.86775836484	-5.97138758674	-5.7083542114
NM_000702	ATP1A2	3063	3063	-4.26465210469	-4.80209386336	-4.44380241814	-5.79625753449	-7.68226614694	-6.00649027223	-5.71216569401
NM_001160233	ATP1A1	3072	3072	-4.33777512858	-4.88370709788	-4.51756219229	-5.81421160783	-7.72517639669	-6.0218865776	-5.71089147946
NM_001937	DPT	606	606	-5.01757705933	-5.59408506831	-5.19344301003	-6.30513488826	-7.69147435137	-6.86703698238	-6.41584006665
NM_014652	IPO13	2892	2892	-4.37897818221	-4.92787409098	-4.5628029899	-5.78336889592	-7.74546141539	-6.02288198315	-5.7371144022
NM_001162536	RBMXL1	1173	1173	-4.75433136944	-5.41906303008	-4.89884687557	-5.94248801584	-7.68052477613	-7.95747434642	-6.1290146787
NM_032852	ATG4C	1377	1377	-4.80240617996	-5.39437133665	-4.98142061618	-6.05509682475	-7.88461356028	-6.40079836223	-6.05937875056
NM_000186	CFH	3696	3696	-4.32774452105	-4.92017191592	-4.49704287873	-5.67720698494	-7.56556542548	-5.98700434651	-5.63058072827
NM_001531	MR1	1026	1026	-4.83072903168	-5.37359877635	-5.02082477456	-6.19962055096	-7.54537622658	-6.46359089053	-6.18716533004
NM_001040709	SYPL2	819	819	-4.94223906367	-5.45835721481	-5.13051247513	-6.43622165894	-7.84390322598	-6.8039645516	-6.28502878906
NM_000449	RFX5	1851	1851	-4.58767482559	-5.18526274907	-4.75136101724	-5.96331790686	-7.54612561747	-6.32710258177	-5.93090627207
NM_001010867	IBA57	1071	1071	-4.8312044921	-5.33908000442	-5.02261903084	-6.22793467101	-7.67013468823	-7.19373914617	-6.16852321999
NM_001004341	ETV3L	1086	1086	-4.7904985842	-5.31615903596	-4.97985834496	-6.22128780058	-7.86341549357	-6.55052058037	-6.16248286557
