ensgID	enstID	hgncID	hgncSymbol	geneName	syn	mis	non	splice	frameshift	lof	prot	all
ENSG00000004059	ENST00000000233	658	ARF5	ARF5	2.70429483272e-06	6.23416419719e-06	2.0168751281e-07	2.20726906554e-07	1.05903968984e-06	1.481454109204e-06	7.715618306394e-06	1.0419913139114e-05
ENSG00000003056	ENST00000000412	6752	M6PR	M6PR	2.8773487504e-06	7.76762909557e-06	5.37060462822e-07	3.46960334254e-07	7.57182980271e-08	9.597390951031e-07	8.7273681906731e-06	1.16047169410731e-05
ENSG00000004478	ENST00000001008	3720	FKBP4	FKBP4	5.60878580224e-06	1.34642726146e-05	7.50348607759e-07	3.99651949802e-07	4.03502383536e-08	1.1903507959146e-06	1.46546234105146e-05	2.02634092127546e-05
ENSG00000003137	ENST00000001146	20581	CYP26B1	CYP26B1	1.01384700109e-05	2.09160346712e-05	4.15176643643e-07	2.14327683763e-07	6.02354641738e-07	1.231858969144e-06	2.2147893640344e-05	3.2286363651244e-05
ENSG00000003509	ENST00000002125	28816	NDUFAF7	NDUFAF7	5.07903695499e-06	1.20811433998e-05	7.78402543867e-07	3.82666157597e-07	5.19794912491e-07	1.680863613955e-06	1.3762007013755e-05	1.8841043968745e-05
ENSG00000001036	ENST00000002165	4008	FUCA2	FUCA2	5.44579938301e-06	1.22221622818e-05	8.66804628112e-07	2.60527459416e-07	1.3966941887e-06	2.524026276228e-06	1.4746188558028e-05	2.0191987941038e-05
ENSG00000002587	ENST00000002596	5194	HS3ST1	HS3ST1	7.66723548045e-06	1.41043034097e-05	5.03006777141e-07	0	1.58175154586e-08	5.188242925996e-07	1.46231277022996e-05	2.22903631827496e-05
ENSG00000001617	ENST00000002829	10728	SEMA3F	SEMA3F	1.46933920269e-05	3.28884011739e-05	1.51324542727e-06	9.67670279829e-07	1.25401980746e-06	3.734935514559e-06	3.6623336688459e-05	5.1316728715359e-05
ENSG00000001626	ENST00000003084	1884	CFTR	CFTR	1.41808996495e-05	3.59978349077e-05	2.60545947526e-06	1.12650547159e-06	4.39087125529e-06	8.12283620214e-06	4.412067110984e-05	5.830157075934e-05
ENSG00000001630	ENST00000003100	2649	CYP51A1	CYP51A1	4.91197801885e-06	1.35872553287e-05	6.19820446372e-07	3.72304498732e-07	1.27290517035e-06	2.265030115454e-06	1.5852285444154e-05	2.0764263463004e-05
ENSG00000048028	ENST00000003302	12625	USP28	USP28	1.04213472054e-05	2.74154078983e-05	2.45737558314e-06	1.03814058259e-06	3.94319585307e-06	7.4387120188e-06	3.48541199171e-05	4.52754671225e-05
ENSG00000003989	ENST00000004531	11060	SLC7A2	SLC7A2	1.01826313219e-05	2.06444199848e-05	8.54443196648e-07	4.94977393888e-07	2.89853693625e-07	1.639274284161e-06	2.2283694268961e-05	3.2466325590861e-05
ENSG00000006074	ENST00000004921	10616	CCL18	CCL18	1.0131091953e-06	2.43130327815e-06	1.12967228716e-07	9.28825639013e-08	1.43153156193e-07	3.490029488103e-07	2.7803062269603e-06	3.7934154222603e-06
ENSG00000079387	ENST00000004980	17927	SENP1	SENP1	5.23016783549e-06	1.45480063788e-05	1.34747333005e-06	6.04433833486e-07	1.14297405612e-06	3.094881219656e-06	1.7642887598456e-05	2.2873055433946e-05
ENSG00000004799	ENST00000005178	8812	PDK4	PDK4	4.41524581504e-06	1.13691843173e-05	7.00408608407e-07	4.35703193518e-07	1.45309352363e-06	2.589205325555e-06	1.3958389642855e-05	1.8373635457895e-05
ENSG00000006611	ENST00000005226	12597	USH1C	USH1C	1.16929847086e-05	2.89536185768e-05	1.4867814144e-06	1.17862803472e-06	6.56909690359e-07	3.322319139479e-06	3.2275937716279e-05	4.3968922424879e-05
ENSG00000006451	ENST00000005257	9839	RALA	RALA	2.20723889883e-06	5.20822158631e-06	5.23844326993e-07	1.37921156931e-07	2.20496391263e-07	8.82261875187e-07	6.090483461497e-06	8.297722360327e-06
ENSG00000006453	ENST00000005260	21649	BAIAP2L1	BAIAP2L1	8.60331778675e-06	1.62531918563e-05	8.15378286285e-07	8.07714605813e-07	1.90245250143e-06	3.525545393528e-06	1.9778737249828e-05	2.8382055036578e-05
ENSG00000006116	ENST00000005284	1407	CACNG3	CACNG3	5.30728847774e-06	1.15143051557e-05	7.42121108849e-07	2.59267866993e-07	1.35076019403e-07	1.136464995245e-06	1.2650770150945e-05	1.7958058628685e-05
ENSG00000006118	ENST00000005286	31092	TMEM132A	TMEM132A	1.7224501271e-05	3.88388370399e-05	1.377334898e-06	4.21666513843e-07	9.26283826687e-07	2.72528523853e-06	4.156412227843e-05	5.878862354943e-05
ENSG00000004975	ENST00000005340	3086	DVL2	DVL2	1.21735651682e-05	2.7117749525e-05	1.00293311837e-06	6.23460666885e-07	1.48422564885e-07	1.77481635014e-06	2.889256587514e-05	4.106613104334e-05
ENSG00000005175	ENST00000005386	26151	RPAP3	RPAP3	6.21911939426e-06	1.52164596496e-05	1.22030944053e-06	6.26742512097e-07	1.06715932388e-06	2.914211276507e-06	1.8130670926107e-05	2.4349790320367e-05
ENSG00000007038	ENST00000005995	9485	PRSS21	PRSS21	4.09260072945e-06	8.88271919157e-06	3.89090566085e-07	3.27568900724e-07	2.38816504435e-08	7.405411172525e-07	9.6232603088225e-06	1.37158610382725e-05
ENSG00000005073	ENST00000006015	5101	HOXA11	HOXA11	8.86407428976e-06	1.60196063854e-05	4.35116836514e-07	4.2630475875e-08	7.5535061644e-08	5.53282374033e-07	1.6572888759433e-05	2.5436963049193e-05
ENSG00000006210	ENST00000006053	10647	CX3CL1	CX3CL1	7.75317760551e-06	1.4782189889e-05	6.84088844575e-07	8.93265233331e-08	2.38945149053e-07	1.0123605169611e-06	1.57945504059611e-05	2.35477280114711e-05
ENSG00000005243	ENST00000006101	19356	COPZ2	COPZ2	2.1832984455e-06	4.40520443291e-06	1.74103654714e-07	2.59006911071e-07	6.39688928895e-07	1.07279949468e-06	5.47800392759e-06	7.66130237309e-06
ENSG00000007255	ENST00000006275	23069	TRAPPC6A	TRAPPC6A	3.11178479982e-06	5.77490980857e-06	1.36331467251e-07	1.83949905662e-07	3.80147980417e-07	7.0042935333e-07	6.4753391619e-06	9.58712396172e-06
ENSG00000006282	ENST00000006658	26125	SPATA20	SPATA20	1.26157799726e-05	2.8686928594e-05	1.60753886113e-06	6.9310703058e-07	1.14685202892e-06	3.44749792063e-06	3.213442651463e-05	4.475020648723e-05
ENSG00000007306	ENST00000006724	1819	CEACAM7	CEACAM7	3.81329994456e-06	7.79301948508e-06	4.61323137008e-07	1.34740245291e-07	2.34111106599e-07	8.30174488898e-07	8.623193973978e-06	1.2436493918538e-05
ENSG00000005486	ENST00000006777	23082	RHBDD2	RHBDD2	6.17597711247e-06	1.14849468963e-05	4.0968370686e-07	1.1603583115e-07	4.19036245451e-07	9.44755783461e-07	1.2429702679761e-05	1.8605679792231e-05
ENSG00000007520	ENST00000007390	14175	TSR3	TSR3	5.7193054151e-06	1.09252451625e-05	3.53049773758e-07	1.82360766923e-07	1.16591756364e-08	5.470697163174e-07	1.14723148788174e-05	1.71916202939174e-05
ENSG00000006025	ENST00000007414	16387	OSBPL7	OSBPL7	1.18513926474e-05	2.88054190178e-05	1.54870953988e-06	9.81058984898e-07	1.40065643184e-06	3.930424956618e-06	3.2735843974418e-05	4.4587236621818e-05
ENSG00000006047	ENST00000007699	17948	YBX2	YBX2	4.08294282404e-06	1.21101715165e-05	1.15198924896e-06	2.96358024069e-07	7.98490055457e-08	1.5281962785747e-06	1.36383677950747e-05	1.77213106191147e-05
ENSG00000005884	ENST00000007722	6139	ITGA3	ITGA3	1.54829307804e-05	3.52138260133e-05	1.74848253816e-06	1.22928419141e-06	1.67005957806e-06	4.64782630763e-06	3.986165232093e-05	5.534458310133e-05
ENSG00000006059	ENST00000007735	6450	KRT33A	KRT33A	6.73569989642e-06	1.50083859431e-05	5.6744516842e-07	2.69248046038e-07	3.83630505237e-07	1.220323719695e-06	1.6228709662795e-05	2.2964409559215e-05
ENSG00000010626	ENST00000007969	19138	LRRC23	LRRC23	3.92463234698e-06	9.82315623786e-06	7.49235044482e-07	2.28984236277e-07	5.84107787882e-08	1.0366300595472e-06	1.08597862974072e-05	1.47844186443872e-05
ENSG00000008197	ENST00000008391	15581	TFAP2D	TFAP2D	7.40458759548e-06	1.48069039751e-05	4.51629670258e-07	3.07978869783e-07	5.62715573807e-07	1.322324113848e-06	1.6129228088948e-05	2.3533815684428e-05
ENSG00000008405	ENST00000008527	2384	CRY1	CRY1	5.82991885891e-06	1.62529899946e-05	1.5742895498e-06	4.80791840435e-07	1.78799519276e-06	3.843076582995e-06	2.0096066577595e-05	2.5925985436505e-05
ENSG00000008438	ENST00000008938	8904	PGLYRP1	PGLYRP1	3.12709390738e-06	7.3372109805e-06	3.42017787111e-07	8.47516257034e-08	1.93628477909e-07	6.203978907234e-07	7.9576088712234e-06	1.10847027786034e-05
ENSG00000010270	ENST00000009041	19169	STARD3NL	STARD3NL	2.67662772258e-06	6.00697856043e-06	3.38868476526e-07	2.65415884434e-07	3.71516129089e-07	9.75800490049e-07	6.982779050479e-06	9.659406773059e-06
ENSG00000008118	ENST00000009105	14585	CAMK1G	CAMK1G	5.9471807937e-06	1.38337488743e-05	5.72602280389e-07	5.68125488215e-07	3.20131429208e-06	4.342042060684e-06	1.8175790934984e-05	2.4122971728684e-05
ENSG00000019582	ENST00000009530	1697	CD74	CD74	4.18969235864e-06	9.04064948316e-06	2.66752360017e-07	4.25337546103e-07	1.87017832193e-06	2.56226822805e-06	1.160291771121e-05	1.579261006985e-05
ENSG00000009780	ENST00000010299	28530	FAM76A	FAM76A	2.83233035835e-06	7.34695594533e-06	4.73352894818e-07	3.40193874971e-07	3.8939584566e-07	1.202942615449e-06	8.549898560779e-06	1.1382228919129e-05
ENSG00000091704	ENST00000011292	2296	CPA1	CPA1	7.06906819647e-06	1.4621315968e-05	6.10675046725e-07	3.93813171908e-07	1.8038206755e-06	2.808308894133e-06	1.7429624862133e-05	2.4498693058603e-05
ENSG00000008282	ENST00000011473	11507	SYPL1	SYPL1	2.79070489965e-06	6.44571914978e-06	2.93261843282e-07	1.97688936189e-07	8.80174006606e-07	1.371124786077e-06	7.816843935857e-06	1.0607548835507e-05
ENSG00000010017	ENST00000011619	13727	RANBP9	RANBP9	9.56875725441e-06	1.96150846443e-05	1.4305449592e-06	5.67746239014e-07	2.65116541904e-07	2.263407740118e-06	2.1878492384418e-05	3.1447249638828e-05
